run,time_min,temp,OD600,OD600_norm,strain,well,media,pos_selection
r1,24.166666666666668,37.1,0.042,0.003745614035087781,MG1655,A02,M9_0.5%_glucose,0_µg/ml_tc
r1,49.166666666666664,37.0,0.044,0.005745614035087776,MG1655,A02,M9_0.5%_glucose,0_µg/ml_tc
r1,74.16666666666667,37.1,0.046,0.007745614035087778,MG1655,A02,M9_0.5%_glucose,0_µg/ml_tc
r1,99.16666666666667,37.1,0.048,0.00974561403508778,MG1655,A02,M9_0.5%_glucose,0_µg/ml_tc
r1,124.16666666666667,37.0,0.051,0.012745614035087775,MG1655,A02,M9_0.5%_glucose,0_µg/ml_tc
r1,149.16666666666666,37.0,0.054,0.015745614035087778,MG1655,A02,M9_0.5%_glucose,0_µg/ml_tc
r1,174.16666666666666,37.1,0.059,0.020745614035087775,MG1655,A02,M9_0.5%_glucose,0_µg/ml_tc
r1,199.16666666666666,37.0,0.064,0.02574561403508778,MG1655,A02,M9_0.5%_glucose,0_µg/ml_tc
r1,224.16666666666666,37.1,0.071,0.03274561403508777,MG1655,A02,M9_0.5%_glucose,0_µg/ml_tc
r1,249.16666666666666,37.0,0.079,0.04074561403508778,MG1655,A02,M9_0.5%_glucose,0_µg/ml_tc
r1,274.1666666666667,37.1,0.089,0.050745614035087774,MG1655,A02,M9_0.5%_glucose,0_µg/ml_tc
r1,299.1666666666667,37.1,0.102,0.06374561403508777,MG1655,A02,M9_0.5%_glucose,0_µg/ml_tc
r1,324.1666666666667,37.0,0.118,0.07974561403508777,MG1655,A02,M9_0.5%_glucose,0_µg/ml_tc
r1,349.1666666666667,37.0,0.141,0.10274561403508777,MG1655,A02,M9_0.5%_glucose,0_µg/ml_tc
r1,374.1666666666667,37.0,0.172,0.13374561403508778,MG1655,A02,M9_0.5%_glucose,0_µg/ml_tc
r1,399.1666666666667,37.0,0.209,0.17074561403508776,MG1655,A02,M9_0.5%_glucose,0_µg/ml_tc
r1,424.1666666666667,37.1,0.256,0.2177456140350878,MG1655,A02,M9_0.5%_glucose,0_µg/ml_tc
